08401; 35; 10; Average; 45
08203; 40; 12; Low; 28
08225; 37; 17; Average; 39
08205; 42; 11; Low; 30
08406; 45; 9; Low; 29
07401; 44; 12; Low; 28
07481; 38; 15; Average; 31
07430; 33; 18; Average; 32
07624; 50; 20; Low; 24
07070; 46; 17; Low; 26
08065; 45; 12; Low; 25
08055; 38; 16; Average; 32
08057; 47; 13; Low; 25
08505; 44; 15; Low; 24
08043; 49; 11; Low; 28
08107; 36; 19; Average; 32
08059; 34; 14; Average; 30
08102; 51; 11; Low; 25
08033; 47; 18; Low; 24
08206; 37; 12; Average; 33
08260; 34; 13; Average; 38
08204; 37; 12; High; 55
08226; 30; 17; High; 46
08243; 42; 15; Low; 24
08332; 40; 12; Low; 23
08360; 39; 11; Low; 22
08302; 38; 14; Average; 29
08525; 42; 15; Average; 28
07109; 43; 18; Low; 24
07042; 37; 11; Average; 29
07003; 29; 10; Low; 24
07039; 24; 13; Low; 32
07101; 22; 14; High; 45
08096; 12; 18; Average; 32
08080; 21; 20; Low; 24
08028; 11; 13; Average; 30
07002; 44; 16; Low; 27
07097; 40; 17; High; 45
07094; 45; 19; Low; 26
07047; 41; 11; Low; 28
07032; 48; 10; Average; 35
07825; 39; 17; Average; 30
07840; 30; 15; Low; 26
08865; 33; 14; Low; 25
06460; 28; 12; Low; 31
08809; 34; 21; Average; 28
08822; 15; 16; Low; 20
08530; 14; 17; Low; 17
08825; 11; 10; Low; 21
30043; 31; 23; Average; 11
08560; 27; 19; Average; 22
08501; 28; 32; Average; 21
08540; 41; 37; High; 23
08601; 19; 16; Low; 29
08816; 39; 31; Average; 23
08901; 36; 26; Average; 28
08817; 18; 10; Low; 19
08854; 29; 19; Average; 39
08840; 34; 21; Average; 15
18001; 21; 16; Low; 29
10940; 12; 14; Low; 23
07740; 19; 11; Low; 21
07715; 21; 18; Average; 26
07747; 42; 20; High; 32
07005; 17; 11; Low; 31
53558; 34; 29; Average; 31
07852; 16; 18; Low; 25
07960; 48; 23; High; 30
07834; 28; 12; Average; 31
08008; 35; 10; Average; 35
08527; 55; 20; High; 50
08723; 45; 15; Average; 40
08753; 55; 25; High; 67
08742; 38; 12; Average; 45
07470; 25; 10; Low; 30
07055; 22; 13; Low; 35
07501; 28; 20; Average; 42
07442; 15; 15; Low; 40
07456; 21; 16; Low; 37
08318; 20; 17; Low; 35
08873; 24; 18; Low; 40
07924; 18; 20; Low; 29
08807; 14; 11; Low; 27
08876; 16; 16; Low; 33
08853; 17; 14; Low; 36
07419; 39; 18; Average; 47
07461; 25; 18; Low; 41
07871; 45; 16; Average; 42
07016; 43; 21; Average; 41
07027; 21; 15; Low; 31
07203; 32; 14; Average; 49
07114; 27; 15; Low; 31
07033; 22; 13; Low; 32
08323; 28; 14; Low; 33
08093; 21; 13; Low; 28
08071; 22; 12; Low; 27
08079; 24; 18; Low; 28
08098; 29; 14; Low; 24
08001; 25; 17; Low; 31
08070; 27; 11; Low; 26
07874; 26; 13; Low; 28
07826; 22; 12; Low; 27
07882; 21; 18; Low; 33
07823; 24; 16; Low; 35
